[http-nio-8080-exec-2] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
[http-nio-8080-exec-2] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personnes trouvées pour l'adress  n°1509 Culver St: [PersonU4 [lastName=Boyd, phone=841-874-6512, age=37, medicalBackground=MedicalBackground [medications=[aznol:350mg, hydrapermazol:100mg], allergies=[nillacilan]]], PersonU4 [lastName=Boyd, phone=841-874-6513, age=32, medicalBackground=MedicalBackground [medications=[pharmacol:5000mg, terazine:10mg, noznazol:250mg], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=9, medicalBackground=MedicalBackground [medications=[], allergies=[peanut]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=4, medicalBackground=MedicalBackground [medications=[], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6544, age=35, medicalBackground=MedicalBackground [medications=[tetracyclaz:650mg], allergies=[xilliathal]]]] (UrlsDaoImpl.java:185)
[http-nio-8080-exec-3] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
[http-nio-8080-exec-3] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personnes trouvées pour l'adress  n°1509 Culver St: [PersonU4 [lastName=Boyd, phone=841-874-6512, age=37, medicalBackground=MedicalBackground [medications=[aznol:350mg, hydrapermazol:100mg], allergies=[nillacilan]]], PersonU4 [lastName=Boyd, phone=841-874-6513, age=32, medicalBackground=MedicalBackground [medications=[pharmacol:5000mg, terazine:10mg, noznazol:250mg], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=9, medicalBackground=MedicalBackground [medications=[], allergies=[peanut]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=4, medicalBackground=MedicalBackground [medications=[], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6544, age=35, medicalBackground=MedicalBackground [medications=[tetracyclaz:650mg], allergies=[xilliathal]]]] (UrlsDaoImpl.java:185)
[http-nio-8080-exec-4] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
[http-nio-8080-exec-4] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personnes trouvées pour l'adress  n°1509 Culver St: [PersonU4 [lastName=Boyd, phone=841-874-6512, age=37, medicalBackground=MedicalBackground [medications=[aznol:350mg, hydrapermazol:100mg], allergies=[nillacilan]]], PersonU4 [lastName=Boyd, phone=841-874-6513, age=32, medicalBackground=MedicalBackground [medications=[pharmacol:5000mg, terazine:10mg, noznazol:250mg], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=9, medicalBackground=MedicalBackground [medications=[], allergies=[peanut]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=4, medicalBackground=MedicalBackground [medications=[], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6544, age=35, medicalBackground=MedicalBackground [medications=[tetracyclaz:650mg], allergies=[xilliathal]]]] (UrlsDaoImpl.java:185)
[http-nio-8080-exec-5] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
[http-nio-8080-exec-5] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personnes trouvées pour l'adress  n°1509 Culver St: [PersonU4 [lastName=Boyd, phone=841-874-6512, age=37, medicalBackground=MedicalBackground [medications=[aznol:350mg, hydrapermazol:100mg], allergies=[nillacilan]]], PersonU4 [lastName=Boyd, phone=841-874-6513, age=32, medicalBackground=MedicalBackground [medications=[pharmacol:5000mg, terazine:10mg, noznazol:250mg], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=9, medicalBackground=MedicalBackground [medications=[], allergies=[peanut]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=4, medicalBackground=MedicalBackground [medications=[], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6544, age=35, medicalBackground=MedicalBackground [medications=[tetracyclaz:650mg], allergies=[xilliathal]]]] (UrlsDaoImpl.java:185)
[http-nio-8080-exec-6] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
[http-nio-8080-exec-6] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personnes trouvées pour l'adress  n°1509 Culver St: [PersonU4 [lastName=Boyd, phone=841-874-6512, age=37, medicalBackground=MedicalBackground [medications=[aznol:350mg, hydrapermazol:100mg], allergies=[nillacilan]]], PersonU4 [lastName=Boyd, phone=841-874-6513, age=32, medicalBackground=MedicalBackground [medications=[pharmacol:5000mg, terazine:10mg, noznazol:250mg], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=9, medicalBackground=MedicalBackground [medications=[], allergies=[peanut]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=4, medicalBackground=MedicalBackground [medications=[], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6544, age=35, medicalBackground=MedicalBackground [medications=[tetracyclaz:650mg], allergies=[xilliathal]]]] (UrlsDaoImpl.java:185)
[http-nio-8080-exec-7] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
[http-nio-8080-exec-7] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personnes trouvées pour l'adress  n°1509 Culver St: [PersonU4 [lastName=Boyd, phone=841-874-6512, age=37, medicalBackground=MedicalBackground [medications=[aznol:350mg, hydrapermazol:100mg], allergies=[nillacilan]]], PersonU4 [lastName=Boyd, phone=841-874-6513, age=32, medicalBackground=MedicalBackground [medications=[pharmacol:5000mg, terazine:10mg, noznazol:250mg], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=9, medicalBackground=MedicalBackground [medications=[], allergies=[peanut]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=4, medicalBackground=MedicalBackground [medications=[], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6544, age=35, medicalBackground=MedicalBackground [medications=[tetracyclaz:650mg], allergies=[xilliathal]]]] (UrlsDaoImpl.java:185)
[http-nio-8080-exec-8] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
[http-nio-8080-exec-8] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personnes trouvées pour l'adress  n°1509 Culver St: [PersonU4 [lastName=Boyd, phone=841-874-6512, age=37, medicalBackground=MedicalBackground [medications=[aznol:350mg, hydrapermazol:100mg], allergies=[nillacilan]]], PersonU4 [lastName=Boyd, phone=841-874-6513, age=32, medicalBackground=MedicalBackground [medications=[pharmacol:5000mg, terazine:10mg, noznazol:250mg], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=9, medicalBackground=MedicalBackground [medications=[], allergies=[peanut]]], PersonU4 [lastName=Boyd, phone=841-874-6512, age=4, medicalBackground=MedicalBackground [medications=[], allergies=[]]], PersonU4 [lastName=Boyd, phone=841-874-6544, age=35, medicalBackground=MedicalBackground [medications=[tetracyclaz:650mg], allergies=[xilliathal]]]] (UrlsDaoImpl.java:185)
[http-nio-8080-exec-9] INFO       | com.safetynet.safetyAlerts.service.UrlsService               | Lancement de la recherche des personnes rattachées l'adresse: 1509 Culver St (UrlsService.java:59)
