[main] ERROR      | com.safetynet.safetyAlerts.exceptions.DataNotFoundException  | --> Aucune adresse trouvée pour addressNotExist (DataNotFoundException.java:17)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> SetAllFire [FirestationModel [station=fire1, address=address1], FirestationModel [station=fire2, address=address2], FirestationModel [station=fire2, address=address3], FirestationModel [station=fire3, address=address4]] (UrlsDaoImpl.java:41)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | -> nombre d'adresse couvertes par la station: 1 (UrlsDaoImpl.java:207)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Listes des personnes couvertes: FamilysListU5 [fireStation=fire1, personsListU5=[FamilyU5 [address=address1, persons=[PersonU4 [lastName=LastName1, phone= 06 06 06 06, age=51, medicalBackground=MedicalBackground [medications=null, allergies=null]], PersonU4 [lastName=LastName1, phone= 06 06 06 06, age=10, medicalBackground=MedicalBackground [medications=null, allergies=null]]]]]] (UrlsDaoImpl.java:234)
[main] ERROR      | com.safetynet.safetyAlerts.exceptions.DataNotFoundException  | --> *** fireNotExist n'existe pas ! (DataNotFoundException.java:17)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> SetAllFire [FirestationModel [station=fire1, address=address1], FirestationModel [station=fire2, address=address2], FirestationModel [station=fire2, address=address3], FirestationModel [station=fire3, address=address4]] (UrlsDaoImpl.java:41)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Téléphone(s) trouvé(s) pour la station fire1: [PhoneNumber [number= 06 06 06 06], PhoneNumber [number= 06 06 06 06]] (UrlsDaoImpl.java:142)
[main] ERROR      | com.safetynet.safetyAlerts.exceptions.DataNotFoundException  | --> *** fireNotExist n'existe pas ! (DataNotFoundException.java:17)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> SetAllFire [FirestationModel [station=fire1, address=address1], FirestationModel [station=fire2, address=address2], FirestationModel [station=fire2, address=address3], FirestationModel [station=fire3, address=address4]] (UrlsDaoImpl.java:41)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Liste des mails des Personnes de la ville city : [mail@mail.com] (UrlsDaoImpl.java:293)
[main] ERROR      | com.safetynet.safetyAlerts.exceptions.DataNotFoundException  | --> *** Cette ville cityNotExist n'existe pas ! (DataNotFoundException.java:17)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> SetAllFire [FirestationModel [station=fire1, address=address1], FirestationModel [station=fire2, address=address2], FirestationModel [station=fire2, address=address3], FirestationModel [station=fire3, address=address4]] (UrlsDaoImpl.java:41)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Personness couvertent par la FireStation fire1 : nbAdult:1  nbChild:1 ListPersons:[PersonStation [firstName=firstName1, lastName=LastName1, address=address1, phone= 06 06 06 06], PersonStation [firstName=firstName2, lastName=LastName1, address=address1, phone= 06 06 06 06]] (UrlsDaoImpl.java:80)
[main] INFO       | com.safetynet.safetyAlerts.dao.UrlsDaoImpl                   | --> Aucune personne couverte par la FireStation fire3 (UrlsDaoImpl.java:83)
[main] ERROR      | com.safetynet.safetyAlerts.exceptions.DataNotFoundException  | --> *** fireNotExist n'existe pas ! (DataNotFoundException.java:17)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | --> SetAllFire [FirestationModel [station=fire1, address=address1], FirestationModel [station=fire2, address=address2], FirestationModel [station=fire2, address=address3], FirestationModel [station=fire3, address=address4]] (FirestationDaoImpl.java:103)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | --> SetAllPerson de Fire [{ "firstName":"firstName1", "lastName":"LastName1", "address":"address1", "city":"city", "zip":"95000", "phone":" 06 06 06 06", "email":"mail@mail.com", "firestation":"null", "age":"18", "medicalrecord":"null], { "firstName":"firstName2", "lastName":"LastName2", "address":"address2", "city":"city", "zip":"95000", "phone":" 06 06 06 06", "email":"mail@mail.com", "firestation":"null", "age":"18", "medicalrecord":"null]] (FirestationDaoImpl.java:110)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | ---> Lancement de UpdateData ! (FirestationDaoImpl.java:119)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | ----> Update terminé, données mises à jour ! (FirestationDaoImpl.java:140)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | --> Liste des FireStations: [FirestationModel [station=fire1, address=address1], FirestationModel [station=fire2, address=address2], FirestationModel [station=fire2, address=address3], FirestationModel [station=fire3, address=address4]] (FirestationDaoImpl.java:31)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | --> FireStation ajoutées: FirestationModel [station=stationTest, address=address Test] (FirestationDaoImpl.java:70)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | ---> Lancement de UpdateData ! (FirestationDaoImpl.java:119)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | ----> Update terminé, données mises à jour ! (FirestationDaoImpl.java:140)
[main] INFO       | com.safetynet.safetyAlerts.dao.FirestationDaoImpl            | --> Liste des FireStations: [FirestationModel [station=fire1, address=address1], FirestationModel [station=fire2, address=address2], FirestationModel [station=fire2, address=address3], FirestationModel [station=fire3, address=address4], FirestationModel [station=stationTest, address=address Test]] (FirestationDaoImpl.java:31)
