[main] TRACE      | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Processing locations and classes for context configuration attributes [ContextConfigurationAttributes@1f130eaf declaringClass = 'com.safetynet.safetyAlerts.controller.UrlsControllerTest', classes = '{}', locations = '{}', inheritLocations = false, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'] (AbstractTestContextBootstrapper.java:352)
[main] DEBUG      | org.springframework.test.context.support.AbstractContextLoader | Did not detect default resource location for test class [com.safetynet.safetyAlerts.controller.UrlsControllerTest]: class path resource [com/safetynet/safetyAlerts/controller/UrlsControllerTest-context.xml] does not exist (AbstractContextLoader.java:258)
[main] DEBUG      | org.springframework.test.context.support.AbstractContextLoader | Did not detect default resource location for test class [com.safetynet.safetyAlerts.controller.UrlsControllerTest]: class path resource [com/safetynet/safetyAlerts/controller/UrlsControllerTestContext.groovy] does not exist (AbstractContextLoader.java:258)
[main] INFO       | org.springframework.test.context.support.AbstractContextLoader | Could not detect default resource locations for test class [com.safetynet.safetyAlerts.controller.UrlsControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}. (AbstractContextLoader.java:264)
[main] DEBUG      | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Ignoring class [com.safetynet.safetyAlerts.controller.UrlsControllerTest$findPersonsTests]; it must be static, non-private, non-final, and annotated with @Configuration to be considered a default configuration class. (AnnotationConfigContextLoaderUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Ignoring class [com.safetynet.safetyAlerts.controller.UrlsControllerTest$listChildByAdresTests]; it must be static, non-private, non-final, and annotated with @Configuration to be considered a default configuration class. (AnnotationConfigContextLoaderUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Ignoring class [com.safetynet.safetyAlerts.controller.UrlsControllerTest$listFamilysByAdressStationTests]; it must be static, non-private, non-final, and annotated with @Configuration to be considered a default configuration class. (AnnotationConfigContextLoaderUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Ignoring class [com.safetynet.safetyAlerts.controller.UrlsControllerTest$listMailsTests]; it must be static, non-private, non-final, and annotated with @Configuration to be considered a default configuration class. (AnnotationConfigContextLoaderUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Ignoring class [com.safetynet.safetyAlerts.controller.UrlsControllerTest$listPersonsByAdressStationTests]; it must be static, non-private, non-final, and annotated with @Configuration to be considered a default configuration class. (AnnotationConfigContextLoaderUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Ignoring class [com.safetynet.safetyAlerts.controller.UrlsControllerTest$listPersonsByIdStationTests]; it must be static, non-private, non-final, and annotated with @Configuration to be considered a default configuration class. (AnnotationConfigContextLoaderUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Ignoring class [com.safetynet.safetyAlerts.controller.UrlsControllerTest$listPhoneByFirestationTests]; it must be static, non-private, non-final, and annotated with @Configuration to be considered a default configuration class. (AnnotationConfigContextLoaderUtils.java:73)
[main] INFO       | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Could not detect default configuration classes for test class [com.safetynet.safetyAlerts.controller.UrlsControllerTest]: UrlsControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. (AnnotationConfigContextLoaderUtils.java:83)
[main] TRACE      | org.springframework.core.io.support.SpringFactoriesLoader    | Loaded [org.springframework.test.context.ContextCustomizerFactory] names: [org.springframework.boot.test.context.ImportsContextCustomizerFactory, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizerFactory, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory, org.springframework.boot.test.mock.mockito.MockitoContextCustomizerFactory, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizerFactory, org.springframework.boot.test.web.reactive.server.WebTestClientContextCustomizerFactory, org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizerFactory, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizerFactory, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory, org.springframework.test.context.web.socket.MockServerContainerContextCustomizerFactory, org.springframework.test.context.support.DynamicPropertiesContextCustomizerFactory] (SpringFactoriesLoader.java:103)
[main] TRACE      | org.springframework.test.context.support.ApplicationContextInitializerUtils | Processing context initializers for configuration attributes [ContextConfigurationAttributes@1f130eaf declaringClass = 'com.safetynet.safetyAlerts.controller.UrlsControllerTest', classes = '{}', locations = '{}', inheritLocations = false, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'] (ApplicationContextInitializerUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.ActiveProfilesUtils | Could not find an 'annotation declaring class' for annotation type [org.springframework.test.context.ActiveProfiles] and class [com.safetynet.safetyAlerts.controller.UrlsControllerTest] (ActiveProfilesUtils.java:79)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved classpath location [com/safetynet/safetyAlerts/controller/] to resources [URL [file:/C:/Users/ptiqu/Desktop/WorkSpace/P5/safetyAlerts/target/test-classes/com/safetynet/safetyAlerts/controller/], URL [file:/C:/Users/ptiqu/Desktop/WorkSpace/P5/safetyAlerts/target/classes/com/safetynet/safetyAlerts/controller/]] (PathMatchingResourcePatternResolver.java:323)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\test-classes\com\safetynet\safetyAlerts\controller] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\test-classes\com\safetynet\safetyAlerts\controller] for files matching pattern [C:/Users/ptiqu/Desktop/WorkSpace/P5/safetyAlerts/target/test-classes/com/safetynet/safetyAlerts/controller/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\classes\com\safetynet\safetyAlerts\controller] (PathMatchingResourcePatternResolver.java:733)
